층위유형,내용,연결요소 1,연결요소 2,연결요소 3,연결요소 4,연결요소 5,연결요소 6,연결요소 7
결과,숭조위선 효우정신,행동1,행동2,행동3,행동4,행동5,,
행동1,"조상 → 과거
형제 → 현재
우애 → 미래",유형1,유형2,유형7,,,,
행동2,조직의 소통문화 정책을 지킨다,유형8,유형13,유형9,유형3,,,
행동3,노?사 상생활동을 활성화 한다,유형4,유형10,,,,,
행동4,쾌적한 근무환경을 조성하려 노력한다 (인본주의),유형5,,,,,,
행동5,동암정신을 전파한다,유형6,,,,,,
유형1,[자원배분 방식] 신규사업 사업지원 (티탄/Enc),무형1,,,,,,
유형2,[팀 규정/철학] 이기주의 타파 / 무사안일주의 배제 / 최선을 다하는 자세,유형12,,,,,,
유형3,[행사/이벤트] 팀원 생일 챙기기 (케잌 or 점심식사),무형4,무형5,,,,,
유형4,[제도 개선] 관리직 해외 연수 시행 요청 (현재 근로직 시행중),,,,,,,
유형5,[리더-업무절차/방식] 안전관리 강화 순회 활동,무형7,,,,,,
유형6,[소통절차/방식] 주 2회 동암정신 공유 (모여서 낭독) ,,,,,,,
유형7,[행사/이벤트] 지역사회와의 적극적 소통,,,,,,,
유형8,[정책 1] 나와 다른 의견을 제시하더라도 끝까지 경청하고 틀렸다고 하지 않기,,,,,,,
유형9,[정책 3] 모임이나 회식을 통한 우애 다지기 ‘피를 나눈 형제보다 이웃사촌이 좋다.’,무형3,,,,,,
유형10,[팀 규정/철학] 노사관계 개선을 위해 서로 가족이란 생각으로 언행 조심하기,유형14,무형6,,,,,
유형11,[업무절차/방식] 통기 개선 협의,유형15,무형8,,,,,
유형12,[행사/이벤트] 도덕정사 지장제 참석 (매월 음력 18일),,,,,,,
유형13,[정책 2] 하루 한 번 수고했다 격려하기,무형2,,,,,,
유형14,[행사/이벤트] 노사 화합을 위한 가족동반행사 연 1회 이상 실시,,,,,,,
유형15,"[소통절차/방식] 메신저 활용, 교대자간 소통 강화 - 사고사례 공유하기",,,,,,,
무형1,우리는 반드시 달성할 수 있다는 믿음,,,,,,,
무형2,팀원들이 9~18시 동안 주어진 업무를 잘 수행했다는 믿음,,,,,,,
무형3,"우애를 다지는 것이 편하고, 업무향상에도 도움이 된다는 믿음",,,,,,,
무형4,또 하나의 가족이란 믿음,,,,,,,
무형5,"우리 모두는 사람을 먼저, 배려를 먼저 생각한다고 믿는다",,,,,,,
무형6,노사는 한 배를 탄 항해사라는 믿음,,,,,,,
무형7,우리 모두는 안전수칙 준수에 앞장서고 있음을 믿는다,,,,,,,
무형8,모두가 문제해결의 주체임을 믿는다,,,,,,,
